anchor,entailment,contradiction
"继续提高城乡居民基本医保和大病保险保障水平,居民医保人均财政补助标准增加30元,一半用于大病保险",我国实施居民医保人均财政补助,城乡居民基本医保和大病保险毫无着落
要继续把教育放在优先发展的战略地位,发展教育益处多多,发展教育无所回报
"走,去找乃爷爷……",有人要去找乃爷爷,没有人要找乃爷爷
"这个肯定是有数据的,我们不知道这个数据,不可能百分之百的离婚的人又百分之百的回来了,不可能",有数据支撑这个论点,百分百的离婚又百分百回来是很常见的事情
"这台东风加长大卡车,是自治区党委和人民政府为支持宁夏话剧团坚持送戏下乡的正确方向,拉专款购置的",自治区党委和人民政府支持宁夏话剧团送戏下乡,宁夏话剧团从未有送戏下乡的打算
这就是她们租的地方是吗,她们租了个地方,她们什么也没租
那个现讲讲那个小唐的事情.,现在要讲小唐的事情,小唐最近没发生什么事
"那现在你,你先,先第一个再说吧.",“我”本来不是第一个,没有人打算让“我”当第一个
"1985年,唐启文主持瑞墻电站配套隧洞的施工",有工人参与完成此工程,瑞墙电站配套隧道于1984年完工
"22家省市国营演出公司前来看样定货,采购艺术节的文艺产品",这些演出公司计划参加艺术节,演出公司的规模有30家
"6年前,在公司热的浪潮中,他成立了长春长城科技集团公司,但是经营不善,难以在长春再混下去",长春长城科技集团公司于六年前成立,公司在上海
"不行就回去一趟,我也无所谓反正.",说话人语序倒装,没有可能需要回去才能解决的事发生
"中村区区委书记阮荣全挤进人圈,拉过话筒通报起全区计划生育最新情况",人很多,没有实行计划生育
"主持人都会快被取代,跟机器聊天也很顺畅,但是调查记者不能被取代",记者的工作中有一部分是机器无法完成的,不可能和机器人聊天
五、厂长、经理按规定比例提出业务活动基金的支配费用,支配费用需按比例提出,不存在支配费用
五是推进公立医院改革试点,公立医院内设立了改革试点,改革试点设立在私立医院中
"享受失业保险两年后仍未就业的,转到民政部门领取城镇居民最低生活费",领取城镇居民最低生活费的人领取过失业保险,失业保险并未设立
你们俩觉得有没有假装生活的感觉,被提问者有两个,没有人被提问
保障妇女、儿童、老人、残疾人合法权益,有人保障社会弱势群体的合法权益,弱势群体的合法权益是可以不被保证的
健全国家安全体系,国家安全体系有不完善的地方,国家安全体系是不必要存在的
加快乡镇机构改革,改革的速度加快了,乡镇机构未进行改革
"千里迢迢,舟车劳顿,市负责人劝他老人家好好休息",他年纪大了,他还非常年轻
"各级政府务必高度重视精神文明建设,把这项工作提到重要的议事日程上来",精神文明建设是当今社会的迫切要求,精神文明建设是不重要的
"后来书店逐渐被日益扩大的集贸市场掩没,难以为继,不得不挪至它处",书店搬迁到了别的地方,书店和集贸市场之间有非常远的距离
"和吕鸿宾共事几十年的村会计杨进躬身进屋,小心翼翼推出老模范那辆50年代买的自行车",自行车使用的时间非常久了,吕鸿宾不认识杨进
"回顾十余年所走过的道路,我们可以明白无误地说:改革开放之路我们走对了,必须坚定不移地定下去",作者对改革开放之路抱有肯定态度,我们没有走过改革开放之路
"因为我们在国内的话,就是只能瞎混了.",句子是一种假设,说话人对自己非常自信
"因为营业额上升了、看来,扩销的目标有可能实现",发展前景比较乐观,扩销不在目标中
国格比价格更重要,相比之下国格的重要性高于价格,国格不是他人评定该国的标准之一
"在汽车离开该县、市时,又见牌坊,上书大字欢迎您再来×××,给人以亲切之感",牌坊上写了字,汽车没有来过该县、市
坚持和完善基本经济制度,基本经济制度有提升的空间,无人坚持基本经济制度
"它不是说不注册就是怎么着,一般人为什么上不去",它需要注册,它没有注册系统
小林对老婆也关心了,小林结婚了,小林未婚
"我们河南农村有大量的快手用户,我原来理解可能是二三线城市,后来我就下调了一点三四线城市",三四线城市标准比二三线低,河南农村中没有人使用快手
"我们要积极拓展多边外交,在联合国和其他国际及区域组织中发挥建设性作用",有积极拓展多边外交的清晰意图,多边外交在国际组织中毫无作用
"我可以给你们或者给不了解情况的观众,其实做一个心理实验",有一个相关的心理实验,所有人都了解情况
"流言难免是虚张声势,危言耸听,鬼鬼祟祟一起来,它们闻风而动,随风而去,摸不到头,抓不到尾",流言真假参半,流言都是有迹可循的
"父亲关着门,吃晚饭也没出来",吃晚饭时父亲没有出房间,吃晚饭时父亲出来了
"牛仔裤,啊就是那个外面可以穿的那种哈.",句子是由口语中摘录的,符合要求的裤子不存在
"王琦瑶从化妆间的窗户看见了外滩,白带子似的一条",从化妆间能看到外滩,从化妆间看不到外滩
"王琦瑶就借故走过去,对薇薇说,她出去买东西,房门也没销,他们到家里坐坐,替她看一会儿门吧",王琦瑶请薇薇到家里坐坐,薇薇是孤身一人
现在好像不是这样,事情与预想中的情况有差别,事情的发展完全在意料之中
"生产不能一天没有煤,人民生活不能一天没有煤",煤在生产生活中拥有举足轻重的地位,"煤只用于生产中,与人民生活无关"
"第一,调整和优化农业结构",这是一系列要求或提议中的第一条,农业结构非常严谨没有漏洞
"第一次看你开始说的那个,虽然那个文风不是我所喜爱的",看了一开始对方所说的,我很喜爱那个文风
继续推进地下综合管廊建设,相关人员需要继续工作,无人进行地下综合管廊建设
维护广州安定团结局面,广州的局面需要维护和保持,广州内部四分五裂
美国人说他没证实,美国人说话时提到他,美国人没说话
美国宣布已经达到了预定的目标,目标已经达到,美国没有对外宣布
"要认真落实廉政建设责任制,进一步加大反腐败斗争的力度,标本兼治,综合治理",反腐倡廉的力度仍当加大,反腐斗争已经结束
记者在人群中见到长岭机器厂驻京办事处总经理尹香金,现场有记者,记者并不认识尹香金
"说笑了一阵,毛毛娘舅就问有没有扑克牌,严家师母笑道:这里可没有你的对手",毛毛娘舅会打扑克,两个人物都不知道扑克牌
"过去的安守本分中是怀了一些委屈,还有些负气的,如今却是心甘情愿",描述对象一直是安守本分的,这个人的心态没有任何变化
"过圣诞的事,是由这城市里最摩登的人物担任",这座城市里的人要过圣诞节,这座城市中没有信仰基督教的人
那个到广州转机其实一样.,广州有机场,中国没有飞机
"都不知道看好几遍了,就摆这边.",没有刻意数看的次数,这里没有空闲位置
雷锋精神是中华民族的传统美德和无产阶级的高尚品格在社会主义时期的继承和发展,雷锋精神是中华民族精神财富中的一部分,雷锋精神不是积极正面的精神
"3天后,记者采访了武警的一位上校政委",采访的人是上校政委,采访的是中学生
8%高出10倍以上,有增高的部分,50%高出10倍以上
"不管财力多么紧张,都要确保农业投入只增不减",农业投入只增不减,财力完全不紧张
"严师母则有些不高兴,说:打牌就要按规矩来,不许有私心的",师母姓严,师母姓贾
"为了完善和发展企业的承包经营责任制,要抓好大中型企业的招标承包,尽量做到规范化、制度化,减少行政干预",大中型企业的招标可以被承包,要增加行政干预
"从开发上说,已投入开发的油田仍然处在旺盛的生产阶段,还有相当大的生产潜力",油田已经投入开发,油田的生产阶段不乐观
"但是这种教材它是不用负责任的,代价是你自己去体会的",这种教材不用负责,这种教材负全责
"但是那个是给,给样品,弟弟带走了.",有一位兄弟,没有样品
依法处置“僵尸企业”,有的企业像僵尸一样,依法处置小微企业
"倘若认识到这一点,再去看那些旁技错节般的横马路,你就能有些心理准备",认识到就能有心理准备,没法做好心理准备
"公寓里毕静,梅兰芳的曲声是衬托这静的",歌曲是梅兰芳唱的,公寓里十分嘈杂
"划火点着烟,屋里就飘起了老头鼻腔的味道",老头的鼻腔有一种味道,老头没有鼻子
"刘国梁是易胖体质,肉乎乎的",刘国梁比较容易发胖,刘国梁骨瘦如柴
"呃,就工艺品啊,什么.",是工艺品,说话的人态度蛮横
"哪里有灾情,哪里就有人民子弟兵",人民子弟兵会救援灾区,灾情从不存在
"在有些日子里,长脚从事的工作是炒汇",长脚有过工作,长脚不会炒汇
"坚决查处各类安全事故,依法追究有关人员责任,维护法制和纪律的严肃性",安全事故有很多类,有关人员没有责任
"她是偷了表,偷了手表",有一块手表不见了,被偷的是一对耳环
"如果真这样,你等毕业之后",你还没毕业,你毕业三年了
"妈也很担心啊,就不知道怎么办好.",妈在担心,妈已经有办法了
它是用操劳作成的悠闲,有操劳,没有操劳
"导演规定她是娇羞的,妩媚的,有憧憬又有担忧的,一古脑儿交给她这些形容词,全要做在一张脸上",她是演员,她有四张脸
就是说她还是非要这个研究生,她想要研究生,她不想要研究生
年内要重点抓好五个方面,这是年内的任务,有十个方面
我立场站得非常稳,我有自己的立场,我很容易动摇
"我见过好多回女的打男的,而且人家说武汉女生说普通话的时候特别地温顺,一说武汉话那就是“老子”这种",武汉女生会自称“老子”,我从来没见过人们打架
"或者是,有什么,他,可能他要收钱.",有什么,没有什么
"所以他不是说的假话,反倒证明了他说的是真话",他在证明自己的诚实,他是哑巴
"播出完了我成本一捞回来我就不管了,我这公司都解散了",我成立过一家公司,我还负责了节目播出的后续项目
"支持港澳抓住共建“一带一路”和粤港澳大湾区建设的重大机遇,更好发挥自身优势,全面深化与内地互利合作",港澳有一定的自身优势,港澳在内地
"政府的教育经费将达到374亿元,比去年增加50亿元,增长15.4%",去年的教育经费比今年少,增长20%
"旁边就来一个孩子,一会儿在这儿趴着你看你们在吃什么",孩子能看见,旁边来的是一个男人
"毕业以后,大家烟消云散",大家上过学,毕业之后大家生活在一起
没有我那个太太贵的东西不不要.,太太比较富有,我对要的东西没有要求
"王殇瑶少见她这么安静的,问她要不要吃饭,她说不要",她不想吃饭,王殇瑶不认识她
"王琦瑶的希望扑空了,反倒有一阵轻松,万事皆休之中,康明逊的那点爱,则成了一个劫后余生",康明逊有爱,王琦瑶压力极大
"现在,我代表国务院,向大会报告政府工作,请予审议,并请全国政协委员提出意见",我代表了国务院,全国政协委员无权提出建议
现在、我就把这一段时间耳闻目睹的情况向关注我们的海内外同胞作一介绍,我这段时间亲眼见到了一些情况,介绍在一个小时之后
"看你信上说,生了个女儿.",你会写字,你打电话说生了个女儿
"结果那个头也掉了,我看.",头掉了,头没有掉
"而这缺,却是一缺再缺,缺缺相承,最后是一座废墟",一直在缺,始终很充足
"舞场设在饭厅,空气中有着油烟的味道",饭厅里有一个舞场,舞场设在游泳池上
"要加强城乡消费设施和服务体系建设,规范市场秩序,维护消费者合法权益",消费者享有合法权益,城市没有消费设施
谁说梦魔都是黑夜里的,有人说梦魔都是黑夜里的,没有人认为梦魔都是黑夜里的
"过了两天,蒋丽莉按约好的时间来拿裤子了",蒋丽莉这次守时了,蒋丽莉是两天前来拿的裤子
"这件事最近在商业部机关大楼里广为流传,成为人们痛斥伪劣商品的话题",许多人对此话题感兴趣,这件事在电视台广为流传
"这样子,哇那好辛苦哦.",对方很辛苦,说话的人不知道情况
"那不是要一万多块钱么,人家就要.",人家要钱,人家要一辆车
"一会么找到人啊,假如有人肯帮忙啊.",也许有人愿意帮忙,一定没有人愿意帮忙
"两人又好像回到了过去的时光,却是将嫌隙搁下不谈,只说些好的",两人曾经有嫌隙,两人现在要谈嫌隙
"会议还同意统一后的德国可以在不修改欧共体条约的情况下加入共同体,但对民主德国部分要实行改造",会议认为民主德国需要实行改造,"民主德国现在的体制就很好,不用改变"
"但是你先说,为什么这个话题令你那么激动",这个话题让你激动了,这个话题你的反应很平静
"作跨国鲜货生意,利大风险也大",跨国鲜货生意可能赚很多钱也可能亏钱,鲜货生意从来都是赚大钱的
"你现在让我离开这里回上海,我还舍不得呢",我现在舍不得这里,我舍不得上海
"全国建成投产大中型基本建设项目78个,大中型项目中的重要单项工程138个",建成投产的大中型项目超过70个,全国投产的大中型项目是个位数
"减税降费直击当前市场主体的痛点和难点,是既公平又有效率的政策",减税有助于社会公平,减税降费回避了市场的痛点难点
"哎,我看你这样子好了.",我已经想好了你该怎么做,我不知道你该怎么做
"哦他早就会看电视了,对.",他很早就知道怎么看电视了,他才学会看电视
"啊,不一定在这种三大报工作吗.",不知道是不是在三大报工作,三大报都已经破产了
"在一个餐厅吃饭,有一个妈妈带着一孩子",餐厅里有妈妈和孩子,这个妈妈没有孩子
地震牵动着亿万人的心,很多人关注地震,地震没人关心
"她守着一堆衣服和包,脸上带着些宽容的微笑,看着舞场中的人群,似乎是在说:你们都跳错了,但也无妨",她没有进舞场跳舞,她觉得别人跳得很好
"好吧,戴帽,连帽子哦.",连帽子一起,不要帽子
"它还有点耍手腕,也是有趣的,是人间常态上稍加点装饰",它耍手腕基本算是人间常态了,它这点手腕非常无聊
"对,我们共有这个世界,万物有灵",我认为所有生物都是有灵魂的,这个世界只属于人类
小孩子是没有预见性的,小孩子不知道以后会发生什么,小孩子都知道以后会怎样
"小林,我想通了,只要九月份通班车,我工作就不调了",我曾经想调工作,"无论什么情况,我都不调工作了"
"小林就说:我敬伯母一杯酒,花这么多钱让我们来旅游",小林伯母花钱让他们去旅游,小林是自己花钱去旅游的
"就是过去台北市长是谁我从来都不知道叫什么名字,就这柯文哲我知道",以前的台北市长我从来都不关心,柯文哲过去就是台北市长了
当年我们刚知道她的时候都说是清华美女啊、最强大脑啊,她当年被认为是清华美女,当年大家都不认识她
"我们问唐师傅,春节不回家团聚……他笑呵呵地说:我们桥梁工人常年与桥一起吃、住,桥就是家",唐师傅春节以桥为家,唐师傅春节在农村老家过
"我知道,我,我,我这两天.",我知道你说的事儿,我完全不知情
"所以你能帮的帮,不能帮的.",能帮忙的就去帮,就算能帮也不要帮
所以深圳厂很重要就这个道理.,深圳的厂是非常要紧的,深圳没有设厂
技术合同成交额增长30%以上,技术合同增长将近三分之一,技术合同增长不超过30%
改革完善跨境电商等新业态扶持政策,新产业的扶持政策还有待完善,新产业扶持政策已经非常完善了
"李永波和田秉毅以15:3胜第一局,接着以15:17和13:18连负两局",李永波和田秉毅3局2败,李永波和田秉毅连胜3局
"棚户区住房改造620多万套,农村危房改造190万户",棚户区改造了几百万套住房,农村危房改造比棚户区改造的多
"正当他们沉浸在这场赛事之中,却听王琦瑶说道:好了,暂停一会儿,吃些水果再继续",王琦瑶要他们吃点水果,"他们觉得比赛不好看,想吃些水果再继续"
"污染防治得到加强,细颗粒物(PM2.5)浓度继续下降,生态文明建设成效显著",PM2.5浓度越来越低,看不出来生态文明建设有什么效果
"没事儿,我我说晚一点儿可以.",我可以再说一会儿,我现在就要睡觉去了
"由于人口繁多,变化也繁多,这城市一百年里积累的隐私比其他地方一千年的还多",这个城市人口非常多,这座城市的隐私不如别的地方多
"薇薇她们的时代,照王琦瑶看来,旧和乱还在其次,重要的是变粗鲁了",王琦瑶看不惯薇薇的时代,王琦瑶觉得薇薇她们很高雅
"过几日,我陪你去看看中医,你说好不好",我愿意陪你去看中医,我只会陪你看西医
这两天了已经不怎么热了.,这两天天气没那么热了,这两天仍然是热得像蒸笼一样
"这些企业大部分未能达到批量要求和投入产出比的要求,即使有效益,也所获不丰",这些企业效益都不高,"这些企业虽然没能达到要求,但是效益颇丰"
"这样的题目真是繁荣似锦,将眼前一切都映暗了",这样的题目非常繁荣,这个题目和眼前的一切都一样暗
"进一步改善外商投资环境,有步骤地放宽外商投资领域,依法健全对外商投资企业的管理","放宽外商投资领域不能太快,要按步骤来",外商投资领域要一步步缩小
"霸权主义和强权政治仍然存在,有时表现还很突出",霸权主义有时候还很突出,霸权和强权早就消失了
"首先是浮现出田朴珺在网上有很多照片,有各种各样很有名的人,他想了想之后觉得还是没有接触到事件本质",他不认为这是事件的本质,"看到田朴珺的照片,他觉得这就是事件的本质了"
鼓楼广场西端的人行道上也扔满了垃圾杂物,鼓楼广场西边有很多垃圾,鼓楼广场非常干净
(拿起步话机)你给老朱说一哈,老朱需要知晓,老朱绝对不能知道
"不是,大城市实现叫财务自由的话最低线是2.9亿",大城市可以实现财务自由,财务自由不能在大城市实现
"从前,我们唱《咱们工人有力量》,很有道理,江泽民说:这支歌子多时不唱了,我们还要唱这支歌,要大声地唱",《咱们工人有力量》很久没被唱起,以后再也不会唱《咱们工人有力量》这首歌了
他是属于什么阶级,阶级有分层,他不可能属于中产阶级
"但是,嘴巴的功能,除了吃东西外,还是要说话的",嘴巴可以用来吃东西,嘴巴只能吃东西
"但是只要脑子里想的是这个鱼,这家人已经是这么开心、兴奋,弄出了很多矛盾",这个鱼弄出来矛盾,这家人并不是因为鱼而开心
"你比如说要有人说,有一大仙去不去,可以去,但是去的时候是不是多数我五体投地,我就是看看热闹去",我要去看热闹,我去看热闹不可能五体投地
"倒不一定什么地方,看着到时候再说了.",这地方还没定,这地方已经订好了
再因为放暑假签三个月是没有钱的.,"如果不是因为暑假,签了就有钱",签三个月的钱更多
出了弄堂就掉了个头的,弄堂前面有拐弯,弄堂前面只能直走
"加强宏观审慎管理,引导货币信贷和社会融资规模适度增长",宏观审慎管理正在加强,货币信贷不需要适度增长
"加强科技兴贸创新基地和服务外包基地建设,支持自主品牌和自主知识产权产品出口",有些自主品牌出口了,国内没有自主品牌和自主知识产权产品
"原来,宁夏话剧团改装了一台大篷车,排演了话剧《天下第一难》今天要登车试演",宁夏话剧团之前排演过话剧,宁夏话剧团毫无排演话剧经验
"去找吴佩珍的时候,两人都避开王琦瑶不提,但心里却全是王琦瑶",两人都找了吴佩珍,吴佩珍不认识王琦瑶
各级政府要加强对放开价格的指导和监督,政府有分级,政府不支持放开价格
"呃,我这三十一号啊,.",我这边有31号,31号和我无关
"呃,那崔燕的妈妈上了南通去了.",霍燕的妈妈还活着,霍燕的妈妈哪里也不去
"呃对,还-还给我妈寄了一百块钱.",我妈收到了一百块钱,我仅仅给我妈寄了钱
"嗯,小鹿子要给我写信.",有人给我写信,小鹿子没有我的地址也能寄信
"它里面就讲到说扎卡维最早开始砍人头是2004年,杀的一个美国人叫尼克伯格",扎卡维杀了尼克伯格,尼克伯格2005年还在世
"完善相关机制,严肃查处重大安全事故并追究有关人员责任,重特大事故下降16.9%",重特大事故减少了,相关机制并未完善
"实行执法责任制和执法过错追究制,完善并严格执行行政赔偿制度,做到有权必有责、用权受监督、侵权要赔偿",有权必有责是可以做到的,行政赔偿制度已经很完善了
"就是我们这种受过欺凌的人,实际上是有一种感受的,就是你看他其实才泼了一盆水,已经形成了这么大的阴影",受过欺凌的人会留下感受,受欺凌没什么影响
张永红说:我反正是弄僵掉了,张永红说自己搞砸了,张永红办得很好
"当他刚穿上军装时,兴奋的专程跑到县城照了相,写了一封动情的信寄给远方的母亲",他照相时在县城,他并不喜欢军装
"方闻教授就研究,但他是跟大都会美术",方闻研究大都会美术,方闻是文盲
"最后爬上老坟岗的4个人,全是共产党员",最后爬上老坟岗的是共产党员,共产党员只有3人
"最新消息竟然说成贾跃亭跑了,这完全是谣传,我就是说,但是我在他们那,因为咱不懂这个经济",贾跃亭没有跑了,最新消息是真实的
"有一种看法,好象在改革开放和商品经济的条件下,办什么事只要有钱就行了,可以不学雷锋了","在改革开放和商品经济的条件下,可以不学雷锋了是一种看法","在改革开放和商品经济的条件下,没有人觉得办什么事有钱就行"
"有了她,邬桥这地方就有些见天日,不会被埋没了",邬桥不会被埋没,邬桥以后无法得到发展
"有这个问题的,有的是生下来就有问题,有的是到什么时候呢",这个问题不一定什么时候出现,这个问题出生的时候不会出现
"然后,就开始发表一大段演讲,说“晨曦初露,我们的时刻终于到来”",演讲里提到了“我们的时刻终于到来”,"演讲里提到,他们的时刻永远不会到来"
然后以后陆陆续续慢慢才能往家里寄点钱.,以后家里会收到钱,以后家里不会收到钱
王琦瑶是典型的上海弄堂的女儿,上海弄堂的女儿很典型,王琦瑶是男生
"真心也只有这两颗,其余的心都是认不得真的",真心有两颗,其余的心可以认真
"给爸爸打个电话,爸爸紧这几.",爸爸有电话,爸爸没有子女
"腐败现象的产生,有若复杂的社会和历史原因",许多原因导致了腐败,腐败只是因为个人原因
"要继续动员和组织社会各方面的力量,帮助少数民族地区更好地发展经济和文化",少数民族地区也需要发展经济和文化,少数民族地区只需要经济发展上的帮助
"认真执行《教师法》,充分发挥教师的作用,努力改善教师待遇,在全社会形成尊师重教的良好风尚",尊师重教是一种良好风尚,教师待遇将被逐步减少
"许多非洲国家,特别是扎伊尔曾力图以非洲方式解决安哥拉问题",扎伊尔是非洲国家,扎伊尔从不关心如何解决安哥拉问题
"象一般的话,几块钱,一般倒是.",一般的只需要几块钱,一般的需要几百块钱
"还有分季节的,像每年从3月到7月份,最受欢迎排行榜,是那种叫“欲烧”(音译)",最受欢迎排行榜分季节,最受欢迎排行榜不分季节
"这些隐私说一件没什么,放在一起可就不得了",这些隐私放在一起说出去会出事,这些隐私没什么重要性
这种认识显然是不正确的,认识分对错,这种认识不可能不正确
"饶老告诉我,金鱼缸内是个小生态系统,缸中水生慈姑草经阳光的照射,会连续不断地释放大量氧气供金鱼呼吸",金鱼呼吸需要氧气,慈姑草不会释放氧气
"首都北京今年把治理大气污染作为政府的一项突出任务,国务院各有关部门要给予有力支持",治理大气污染需要国务院给予有力支持,北京政府自己就能解决大气污染问题
——人民生活持续改善,人民生活得到改善,人民生活得到改善是假的
"一个省委班于是否团结,从常委开会的气氛就可以看得明白",常委开会,省委班不存在
"一些区一级的领导,自己区里办的有幼儿园,却把孩子送到这个幼儿园",领导把孩子送到这个幼儿园,领导从来不把自己的孩子送到区外的幼儿园
不要说是因为我说什么了.,"我说了什么,这不是原因",我没有说话
"两边传来传去,这样传来传去的话.",信息在两边传来传去,"其实两边都是封闭的,没有传来传去"
人群开始缓缓后撤,人群后撤的速度比较缓慢,人群在一窝蜂迅速后撤
"今年国民经济和社会发展的主要预期目标是:国内生产总值增长8%左右,经济结构进一步优化",今年国民经济和社会发展有其目标,国内生产总值增长80%左右是今年的目标
"他想混血儿有这点好,就是有逃脱的去处",混血儿有逃脱的好处,做个混血儿无处可逃
"令人惊诧的是,1990年初,他在太石村的公路边,竟再占用大片土地,修建起一座高级大型住宅",时间是1990年初,他在1998年修建了住宅
"但是我觉得你看,王老师你这个策略就有点太极哲理,是吧,后发制人",这个策略先发制人,王老师没有出任何策略
"但是马上也毫无疑问,王蒙的评语是一种保守的反映",这是毫无疑问的,"王蒙的评语展现了自由主义精神,抨击了保守主义"
你们自己这个这个不要搞的好象.,这个不用搞,你们必须搞这个
"加上原来已有一幢3层楼住宅,用地共145.71平方米,超过了当时县政府规定的每户120平方米的限额",县政府对于住宅面积的限额是120平方米,"加上原来的住宅,现有的占地面积是10000平方米"
"可终有一天,它们的尸体也会被冲进江水",它们是尸体,它们的尸体不会碰到江水
"呃,他们这次拿到沈阳去了.",他们把东西拿到了沈阳,他们去都是纽约
"哦,那咱们吃他一刻钟好了.",我们吃东西吃一刻钟,咱们不吃
"因为现在一般都讲,没有爱情怎么结婚,可是爱情这件事儿,我不知道能不能叫爱情",这事关于爱情,现在绝对不谈论爱情婚姻
"国债投资重点加强农村“六小工程”和农田水利建设,改善农民生产生活条件",农村有水利工程建设,农民的生活条件不需要得到提高
"国土资源管理、环境保护、林业发展和生态建设等方面都做了大量工作,取得新成效",这些工作是关于国土资源管理、环境保护、林业发展和生态建设的,当地没有任何与环境资源相关的工作
"她让车夫拉她到一处地方,然后便下车去",她和车夫一起到了一个地方,她没有见到车夫
"如果不采取坚决措施遏制通货膨胀,不仅经济无法稳定和发展,各项改革也无法深入下去",通货膨胀需要得到遏制,通货膨胀对经济发展和改革一点影响都没有
"对于那些不负责任的闲言碎语,完全可以不去理睬",这些话可以不用理睬,你一定要特别关注这些闲言碎语
"就取景是黑白的,黑白.",取景的颜色是黑白的,取景是红色的
就是说好多想点儿别的办法.,说很多话,不用想办法
